index,"unnamed_0","por",jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann,"county","state"
54,"14739BOSTON,MA","196501-198312",56,56,56,59,60,64,68,66,64,60,48,49,58,"boston","MA"
55,"94849ALPENA,MI","196501-198312",36,43,51,55,59,62,66,60,52,41,28,25,48,"alpena","MI"
56,"94847DETROIT,MI","196605-198312",39,47,50,55,60,65,69,68,61,50,35,31,52,"detroit","MI"
57,"94860GRAND RAPIDS,MI","196501-201412",30,38,45,51,56,61,65,62,57,44,29,22,46,"grand rapids","MI"
58,"14836LANSING,MI","196501-198312",40,47,49,53,60,64,69,66,58,47,29,29,50,"lansing","MI"
59,"14847SAULT STE. MARIE,MI","196501-198312",38,49,56,57,62,59,64,59,47,35,25,28,48,"sault ste. marie","MI"
60,"14913DULUTH,MN","196501-198312",48,51,51,55,56,55,64,60,52,42,33,36,50,"duluth","MN"
61,"14922MINNEAPOLIS-ST.PAUL,MN","196501-198312",53,59,57,56,62,67,74,69,62,51,37,38,57,"minneapolis-st.paul","MN"
62,"03940JACKSON,MS","196501-198312",47,55,59,62,62,70,65,64,60,67,55,49,59,"jackson","MS"
63,"93862TUPELO,MS","198307-198312",NULL,NULL,NULL,NULL,NULL,NULL,66,59,61,67,57,45,NULL,"tupelo","MS"
64,"03945COLUMBIA,MO","196911-198312",51,50,51,55,59,67,70,66,62,60,49,44,57,"columbia","MO"
65,"03947KANSAS CITY,MO","197211-198312",58,56,62,66,65,70,74,67,66,62,48,52,62,"kansas city","MO"
66,"13994ST. LOUIS,MO","196501-198312",51,55,55,58,60,66,71,63,64,60,45,41,57,"st. louis","MO"
67,"13995SPRINGFIELD,MO","196501-198312",51,51,56,59,61,65,72,69,64,62,48,47,58,"springfield","MO"
68,"24033BILLINGS,MT","196501-198312",42,54,65,62,60,62,74,74,68,57,44,38,58,"billings","MT"
69,"24143GREAT FALLS,MT","196501-198312",42,49,64,59,62,65,79,76,69,57,44,37,58,"great falls","MT"
70,"94012HAVRE,MT","196501-198312",48,60,71,72,75,78,86,83,76,63,48,44,67,"havre","MT"
71,"24144HELENA,MT","196501-198312",40,51,61,59,59,62,77,73,68,58,42,35,57,"helena","MT"
72,"24153MISSOULA,MT","196501-198312",30,43,55,56,58,60,80,78,69,57,37,30,54,"missoula","MT"
73,"14939LINCOLN,NE","197209-198312",55,52,54,56,61,73,73,70,68,62,50,51,60,"lincoln","NE"
74,"24023NORTH PLATTE,NE","196501-200912",60,62,65,66,68,72,76,75,73,70,60,60,67,"north platte","NE"
75,"14942OMAHA,NE","196501-197712",56,57,59,59,65,72,74,74,64,63,49,47,61,"omaha","NE"
76,"24032VALENTINE,NE","196502-198312",60,61,59,61,64,70,76,76,72,65,58,57,64,"valentine","NE"
77,"23154ELY,NV","196501-198312",69,69,69,72,75,81,80,79,82,75,65,64,73,"ely","NV"
78,"23169LAS VEGAS,NV","196501-198312",76,79,83,88,88,92,88,89,91,88,79,77,84,"las vegas","NV"
79,"23185RENO,NV","196501-198312",65,66,79,84,87,89,95,93,95,88,72,65,81,"reno","NV"
