index,"city","state","population","violent_crime",murder,"rape_revised_definition",rape_legacy_definition,"robbery","aggravated_assault","violent_crime_rate_per_100_000",murder_rate_per_100_000_people,"rape_new_rate","rape_old_rate","robbery_rate","aggravated_assault_rate"
701,"cathedral city","CA","53,368","128",1,NULL,11,"49","67","239.84",1.87,"0","20.61","91.82","125.54"
702,"hoboken","NJ","53,303","149",0,NULL,2,"55","92","279.53",0,"0","3.75","103.18","172.6"
703,"milford","CT","53,222","35",2,"0",NULL,"21","12","65.76",3.76,"0","0","39.46","22.55"
704,"ankeny","IA","53,099","58",0,"11",NULL,"0","47","109.23",0,"20.72","0","0","88.51"
705,"kingsport","TN","53,010","319",2,"20",NULL,"35","262","601.77",3.77,"37.73","0","66.03","494.25"
706,"lake havasu city","AZ","52,892","88",1,"14",NULL,"5","68","166.38",1.89,"26.47","0","9.45","128.56"
707,"pensacola","FL","52,873","373",3,"28",NULL,"82","260","705.46",5.67,"52.96","0","155.09","491.74"
708,"yucaipa","CA","52,794","71",2,"3",NULL,"18","48","134.48",3.79,"5.68","0","34.09","90.92"
709,"west new york","NJ","52,791","153",0,NULL,4,"64","85","289.82",0,"0","7.58","121.23","161.01"
710,"watsonville","CA","52,778","265",8,NULL,14,"85","158","502.1",15.16,"0","26.53","161.05","299.37"
711,"placentia","CA","52,513","82",1,NULL,3,"14","64","156.15",1.9,"0","5.71","26.66","121.87"
712,"hoffman estates","IL","52,512","50",0,"9",NULL,"13","28","95.22",0,"17.14","0","24.76","53.32"
713,"gilroy","CA","52,415","197",2,"19",NULL,"60","116","375.85",3.82,"36.25","0","114.47","221.31"
714,"florissant","MO","52,387","98",2,"4",NULL,"33","59","187.07",3.82,"7.64","0","62.99","112.62"
715,"peabody","MA","52,366","140",1,"7",NULL,"17","115","267.35",1.91,"13.37","0","32.46","219.61"
716,"bradenton","FL","52,350","338",3,"24",NULL,"71","240","645.65",5.73,"45.85","0","135.63","458.45"
717,"perth amboy","NJ","52,332","247",2,NULL,9,"79","157","471.99",3.82,"0","17.2","150.96","300.01"
718,"stratford","CT","52,279","64",0,"7",NULL,"45","12","122.42",0,"13.39","0","86.08","22.95"
719,"delano","CA","52,224","215",12,NULL,10,"57","136","411.69",22.98,"0","19.15","109.15","260.42"
720,"oak park","IL","52,109","103",0,"5",NULL,"77","21","197.66",0,"9.6","0","147.77","40.3"
721,"desoto","TX","52,038","147",0,"14",NULL,"58","75","282.49",0,"26.9","0","111.46","144.13"
722,"harrisonburg","VA","52,026","103",0,"21",NULL,"11","71","197.98",0,"40.36","0","21.14","136.47"
723,"albany","OR","51,889","42",2,NULL,10,"26","4","80.94",3.85,"0","19.27","50.11","7.71"
724,"howell township","NJ","51,884","37",0,NULL,2,"10","25","71.31",0,"0","3.85","19.27","48.18"
725,"minnetonka","MN","51,769","24",0,"3",NULL,"6","15","46.36",0,"5.79","0","11.59","28.97"
726,"burlington","NC","51,627","352",3,NULL,20,"88","241","681.81",5.81,"0","38.74","170.45","466.81"
727,"la crosse","WI","51,564","102",0,"20",NULL,"28","54","197.81",0,"38.79","0","54.3","104.72"
728,"irondequoit town4","NY","51,390","74",0,"9",NULL,"33","32","144",0,"17.51","0","64.21","62.27"
729,"huntersville","NC","51,374","58",1,NULL,7,"15","35","112.9",1.95,"0","13.63","29.2","68.13"
730,"elkhart","IN","51,366","646",1,NULL,20,"79","546","1,257.64",1.95,"0","38.94","153.8","1,062.96"
731,"doral","FL","51,350","72",0,"2",NULL,"11","59","140.21",0,"3.89","0","21.42","114.9"
732,"glendora","CA","51,292","66",1,NULL,11,"14","40","128.68",1.95,"0","21.45","27.29","77.98"
733,"palm beach gardens","FL","51,210","76",1,"12",NULL,"28","35","148.41",1.95,"23.43","0","54.68","68.35"
734,"east hartford","CT","51,185","131",2,"24",NULL,"55","50","255.93",3.91,"46.89","0","107.45","97.68"
735,"grapevine","TX","51,135","62",0,"9",NULL,"10","43","121.25",0,"17.6","0","19.56","84.09"
736,"enid","OK","51,037","189",0,"45",NULL,"24","120","370.32",0,"88.17","0","47.02","235.12"
737,"tigard","OR","51,024","76",0,NULL,15,"48","13","148.95",0,"0","29.4","94.07","25.48"
738,"sammamish","WA","51,016","8",1,NULL,3,"1","3","15.68",1.96,"0","5.88","1.96","5.88"
739,"grand island","NE","50,999","131",0,NULL,34,"8","89","256.87",0,"0","66.67","15.69","174.51"
740,"palm desert","CA","50,971","140",1,NULL,5,"40","94","274.67",1.96,"0","9.81","78.48","184.42"
741,"brookhaven","GA","50,942","176",1,NULL,6,"105","64","345.49",1.96,"0","11.78","206.12","125.63"
742,"lakewood","OH","50,923","66",2,"6",NULL,"32","26","129.61",3.93,"11.78","0","62.84","51.06"
743,"lenexa","KS","50,876","56",2,"8",NULL,"6","40","110.07",3.93,"15.72","0","11.79","78.62"
744,"plainfield","NJ","50,839","361",3,NULL,11,"134","213","710.08",5.9,"0","21.64","263.58","418.97"
745,"southampton town4","NY","50,819","47",0,"3",NULL,"18","26","92.49",0,"5.9","0","35.42","51.16"
746,"commerce city","CO","50,754","199",1,"50",NULL,"17","131","392.09",1.97,"98.51","0","33.49","258.11"
747,"joplin","MO","50,751","261",3,"48",NULL,"62","148","514.28",5.91,"94.58","0","122.17","291.62"
748,"charleston","WV","50,693","622",9,"48",NULL,"119","446","1,226.99",17.75,"94.69","0","234.75","879.81"
749,"aliso viejo3","CA","50,671","35",1,"5",NULL,"5","24","69.07",1.97,"9.87","0","9.87","47.36"
750,"kentwood","MI","50,617","181",1,"23",NULL,"36","121","357.59",1.98,"45.44","0","71.12","239.05"
751,"apple valley","MN","50,472","42",0,"9",NULL,"8","25","83.21",0,"17.83","0","15.85","49.53"
752,"coral gables","FL","50,316","76",0,"5",NULL,"27","44","151.05",0,"9.94","0","53.66","87.45"
