index,"city","state","population","violent_crime",murder,"rape_revised_definition",rape_legacy_definition,"robbery","aggravated_assault","violent_crime_rate_per_100_000",murder_rate_per_100_000_people,"rape_new_rate","rape_old_rate","robbery_rate","aggravated_assault_rate"
382,"bloomington4","IN","83,075","294",1,"61",NULL,"81","151","353.9",1.2,"73.43","0","97.5","181.76"
383,"bellingham","WA","83,048","220",1,"55",NULL,"64","100","264.91",1.2,"66.23","0","77.06","120.41"
384,"upper darby township","PA","82,843","354",4,"12",NULL,"181","157","427.31",4.83,"14.49","0","218.49","189.52"
385,"bend","OR","82,418","114",0,"16",NULL,"23","75","138.32",0,"19.41","0","27.91","91"
386,"hemet","CA","82,412","430",10,"31",NULL,"139","250","521.77",12.13,"37.62","0","168.66","303.35"
387,"sioux city","IA","82,372","289",1,"45",NULL,"41","202","350.85",1.21,"54.63","0","49.77","245.23"
388,"edinburg","TX","82,349","296",1,"66",NULL,"48","181","359.45",1.21,"80.15","0","58.29","219.8"
389,"westland","MI","82,246","297",2,"46",NULL,"66","183","361.11",2.43,"55.93","0","80.25","222.5"
390,"warwick","RI","82,123","84",0,"25",NULL,"10","49","102.29",0,"30.44","0","12.18","59.67"
391,"mission","TX","81,871","95",0,"5",NULL,"30","60","116.04",0,"6.11","0","36.64","73.29"
392,"redwood city","CA","81,870","194",2,NULL,55,"59","78","236.96",2.44,"0","67.18","72.07","95.27"
393,"farmington hills","MI","81,682","95",0,"17",NULL,"19","59","116.3",0,"20.81","0","23.26","72.23"
394,"longview","TX","81,659","272",2,"23",NULL,"65","182","333.09",2.45,"28.17","0","79.6","222.88"
395,"merced","CA","81,603","570",13,NULL,17,"143","397","698.5",15.93,"0","20.83","175.24","486.5"
396,"chino","CA","81,600","186",0,NULL,8,"42","136","227.94",0,"0","9.8","51.47","166.67"
397,"clarkstown town4","NY","81,435","73",1,"13",NULL,"26","33","89.64",1.23,"15.96","0","31.93","40.52"
398,"lakewood","CA","81,382","202",1,NULL,7,"78","116","248.21",1.23,"0","8.6","95.84","142.54"
399,"cranston","RI","80,905","106",1,"19",NULL,"22","64","131.02",1.24,"23.48","0","27.19","79.11"
400,"fayetteville","AR","80,263","399",1,"45",NULL,"45","308","497.12",1.25,"56.07","0","56.07","383.74"
401,"parma","OH","80,168","67",0,"20",NULL,"30","17","83.57",0,"24.95","0","37.42","21.21"
402,"new rochelle4","NY","80,030","179",1,"11",NULL,"73","94","223.67",1.25,"13.74","0","91.22","117.46"
403,"somerville","MA","79,798","213",1,"10",NULL,"58","144","266.92",1.25,"12.53","0","72.68","180.46"
404,"lake forest3","CA","79,748","104",0,"19",NULL,"18","67","130.41",0,"23.83","0","22.57","84.01"
405,"napa","CA","79,572","249",2,"34",NULL,"39","174","312.92",2.51,"42.73","0","49.01","218.67"
406,"bloomington","IL","79,451","327",3,"56",NULL,"30","238","411.57",3.78,"70.48","0","37.76","299.56"
407,"bryan","TX","79,267","338",5,"68",NULL,"58","207","426.41",6.31,"85.79","0","73.17","261.14"
408,"tustin","CA","79,046","132",0,NULL,16,"39","77","166.99",0,"0","20.24","49.34","97.41"
409,"brooklyn park","MN","78,986","305",1,"50",NULL,"107","147","386.14",1.27,"63.3","0","135.47","186.11"
410,"deerfield beach","FL","78,773","369",1,"32",NULL,"104","232","468.43",1.27,"40.62","0","132.02","294.52"
411,"mountain view3","CA","78,759","156",1,"14",NULL,"29","112","198.07",1.27,"17.78","0","36.82","142.21"
412,"colonie town4","NY","78,717","72",0,"5",NULL,"37","30","91.47",0,"6.35","0","47","38.11"
413,"lynchburg","VA","78,639","367",5,"30",NULL,"56","276","466.69",6.36,"38.15","0","71.21","350.97"
414,"hammond4","IN","78,526","637",10,"31",NULL,"178","418","811.2",12.73,"39.48","0","226.68","532.31"
415,"largo","FL","78,502","338",4,"42",NULL,"92","200","430.56",5.1,"53.5","0","117.19","254.77"
416,"medford","OR","78,356","393",0,"45",NULL,"93","255","501.56",0,"57.43","0","118.69","325.44"
417,"cheektowaga town4","NY","78,209","202",1,"25",NULL,"66","110","258.28",1.28,"31.97","0","84.39","140.65"
418,"lawrence","MA","78,169","855",6,NULL,26,"324","499","1,093.78",7.68,"0","33.26","414.49","638.36"
419,"racine","WI","78,057","310",3,NULL,10,"200","97","397.15",3.84,"0","12.81","256.22","124.27"
420,"gary","IN","78,013","712",37,NULL,44,"278","353","912.67",47.43,"0","56.4","356.35","452.49"
421,"st. george","UT","77,838","112",0,"28",NULL,"19","65","143.89",0,"35.97","0","24.41","83.51"
422,"bellflower","CA","77,830","293",2,NULL,8,"97","186","376.46",2.57,"0","10.28","124.63","238.98"
423,"melbourne","FL","77,797","611",2,"58",NULL,"119","432","785.38",2.57,"74.55","0","152.96","555.29"
424,"kennewick","WA","77,381","190",5,"34",NULL,"41","110","245.54",6.46,"43.94","0","52.98","142.15"
425,"st. joseph","MO","77,269","351",2,"56",NULL,"89","204","454.26",2.59,"72.47","0","115.18","264.01"
426,"alameda","CA","77,048","145",1,NULL,9,"62","73","188.19",1.3,"0","11.68","80.47","94.75"
427,"chino hills","CA","76,972","61",0,"6",NULL,"16","39","79.25",0,"7.8","0","20.79","50.67"
428,"baldwin park","CA","76,933","219",2,NULL,7,"56","154","284.66",2.6,"0","9.1","72.79","200.17"
429,"mount pleasant","SC","76,702","139",2,"9",NULL,"19","109","181.22",2.61,"11.73","0","24.77","142.11"
430,"shelby township","MI","76,556","95",0,"38",NULL,"10","47","124.09",0,"49.64","0","13.06","61.39"
431,"baytown","TX","76,253","241",5,"32",NULL,"84","120","316.05",6.56,"41.97","0","110.16","157.37"
