index,"unnamed_0","por",jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann,"county","state"
102,"12916NEW ORLEANS,LA","194801-201512",14,16,25,32,41,50,60,60,42,35,24,11,11,"new orleans","LA"
103,"13957SHREVEPORT,LA","193907-201512",3,2,15,31,39,52,58,53,42,28,16,5,2,"shreveport","LA"
104,"14607CARIBOU,ME","193902-201512",-37,-41,-28,-4,18,30,36,34,23,14,-8,-31,-41,"caribou","ME"
105,"14764PORTLAND,ME","194012-201512",-26,-39,-21,8,23,33,40,33,23,15,3,-21,-39,"portland","ME"
106,"93721BALTIMORE,MD","193907-201512",-7,-3,4,20,32,40,50,45,35,25,13,0,-7,"baltimore","MD"
107,"14753BLUE HILL,MA","189301-201512",-14,-21,-5,6,27,36,44,39,28,20,5,-19,-21,"blue hill","MA"
108,"14739BOSTON,MA","193601-201512",-12,-14,1,16,34,41,50,46,37,25,12,-11,-14,"boston","MA"
109,"94746WORCESTER,MA","194806-201512",-19,-12,-6,11,28,36,43,38,30,20,6,-13,-19,"worcester","MA"
110,"94849ALPENA,MI","191611-201512",-28,-37,-27,-7,20,27,34,29,23,12,-6,-27,-37,"alpena","MI"
111,"94847DETROIT,MI","195901-201512",-21,-15,-4,10,25,36,41,38,29,17,9,-10,-21,"detroit","MI"
112,"14826FLINT,MI","194805-201512",-25,-25,-16,6,22,33,40,37,26,19,-7,-13,-25,"flint","MI"
113,"94860GRAND RAPIDS,MI","196312-201512",-22,-19,-8,3,22,33,41,39,27,18,5,-18,-22,"grand rapids","MI"
114,"94814HOUGHTON LAKE,MI","196407-201512",-26,-34,-24,2,21,29,33,29,21,16,-5,-21,-34,"houghton lake","MI"
115,"14836LANSING,MI","194801-201512",-29,-25,-15,-2,19,30,37,35,22,15,-5,-18,-29,"lansing","MI"
116,"14840MUSKEGON,MI","189606-201512",-21,-30,-11,1,22,31,39,36,27,19,-14,-15,-30,"muskegon","MI"
117,"14847SAULT STE. MARIE,MI","193101-201512",-36,-37,-28,-2,18,26,36,29,25,16,-10,-31,-37,"sault ste. marie","MI"
118,"14913DULUTH,MN","194801-201512",-39,-39,-29,-5,17,27,35,32,23,8,-23,-34,-39,"duluth","MN"
119,"14918INTERNATIONAL FALLS,","190607-201512",-55,-48,-38,-14,8,23,32,27,19,2,-32,-41,-55,"international falls",""
120,"14922MINNEAPOLIS-ST.PAUL,","193805-201512",-34,-32,-32,2,18,34,43,39,26,13,-17,-29,-34,"minneapolis-st.paul",""
121,"14925ROCHESTER,MN","189303-201512",-40,-35,-31,5,21,31,40,32,22,10,-20,-33,-40,"rochester","MN"
122,"14926SAINT CLOUD,MN","193911-201512",-43,-40,-32,-3,19,32,40,33,18,5,-20,-41,-43,"saint cloud","MN"
123,"03940JACKSON,MS","196308-201512",2,10,15,27,36,47,51,54,35,26,17,4,2,"jackson","MS"
124,"13865MERIDIAN,MS","194406-201512",0,8,15,28,38,42,54,53,34,24,16,2,0,"meridian","MS"
125,"93862TUPELO,MS","196212-201512",-12,4,7,23,30,41,50,50,32,24,11,-3,-12,"tupelo","MS"
126,"03945COLUMBIA,MO","196911-201512",-19,-15,-5,19,29,40,48,42,32,22,0,-20,-20,"columbia","MO"
127,"03947KANSAS CITY,MO","197210-201512",-17,-19,-10,12,30,42,51,43,31,17,1,-23,-23,"kansas city","MO"
128,"13994ST. LOUIS,MO","193804-201512",-18,-12,-5,22,31,43,51,47,32,22,1,-16,-18,"st. louis","MO"
129,"13995SPRINGFIELD,MO","194008-201512",-13,-17,-8,18,29,42,44,44,30,18,4,-16,-17,"springfield","MO"
130,"24033BILLINGS,MT","194801-201512",-30,-28,-21,3,14,32,41,35,22,-7,-22,-32,-32,"billings","MT"
131,"94008GLASGOW,MT","194801-201512",-50,-38,-29,-4,17,30,41,33,15,-6,-26,-38,-50,"glasgow","MT"
132,"24143GREAT FALLS,MT","193704-201512",-37,-35,-29,-8,12,31,36,30,16,-11,-25,-43,-43,"great falls","MT"
133,"94012HAVRE,MT","196102-201512",-52,-44,-30,-14,14,29,39,33,18,-21,-30,-50,-52,"havre","MT"
134,"24144HELENA,MT","193804-201512",-42,-42,-30,1,17,30,36,28,18,-8,-39,-38,-42,"helena","MT"
135,"24146KALISPELL,MT","189905-201512",-38,-36,-29,-5,17,26,30,30,7,-4,-22,-35,-38,"kalispell","MT"
136,"24153MISSOULA,MT","194801-201512",-33,-27,-13,14,21,30,31,30,20,0,-23,-30,-33,"missoula","MT"
137,"14935GRAND ISLAND,NE","193804-201512",-28,-21,-21,7,23,36,42,40,23,9,-11,-26,-28,"grand island","NE"
138,"14939LINCOLN,NE","194801-201512",-33,-24,-19,3,24,39,45,39,26,8,-5,-27,-33,"lincoln","NE"
139,"14941NORFOLK,NE","194510-201512",-27,-26,-20,2,24,38,42,40,26,11,-15,-30,-30,"norfolk","NE"
140,"24023NORTH PLATTE,NE","194801-201512",-25,-22,-22,7,18,29,39,35,17,10,-13,-34,-34,"north platte","NE"
141,"14942OMAHA,NE","194801-201512",-23,-21,-16,5,27,38,44,43,25,13,-9,-23,-23,"omaha","NE"
142,"24028SCOTTSBLUFF,NE","189301-201512",-33,-46,-27,-8,12,30,35,30,14,-6,-21,-42,-46,"scottsbluff","NE"
143,"24032VALENTINE,NE","194801-201512",-30,-31,-29,3,18,30,38,34,17,-1,-22,-39,-39,"valentine","NE"
144,"24121ELKO,NV","188802-201512",-43,-37,-15,-2,10,12,28,20,9,0,-16,-40,-43,"elko","NV"
145,"23154ELY,NV","189301-201512",-27,-30,-13,-5,7,18,28,24,15,-3,-20,-29,-30,"ely","NV"
146,"23169LAS VEGAS,NV","194810-201512",8,16,23,31,40,48,60,56,46,26,21,11,8,"las vegas","NV"
147,"23185RENO,NV","193703-201512",-16,-16,0,13,18,25,33,24,20,8,1,-16,-16,"reno","NV"
148,"24128WINNEMUCCA,NV","187707-201512",-36,-28,-3,6,10,23,29,26,12,-2,-10,-37,-37,"winnemucca","NV"
149,"14745CONCORD,NH","193904-201512",-33,-37,-16,8,21,26,33,29,20,10,-5,-22,-37,"concord","NH"
150,"14755MT. WASHINGTON,NH","194802-201512",-46,-42,-38,-20,-2,13,24,20,9,-2,-20,-41,-46,"mt. washington","NH"
151,"93730ATLANTIC CITY,NJ","195807-201512",-10,-11,2,12,25,37,42,40,32,20,10,-2,-11,"atlantic city","NJ"
152,"14734NEWARK,NJ","189301-201512",-10,-9,3,13,33,41,49,45,34,25,15,-13,-13,"newark","NJ"
153,"23050ALBUQUERQUE,NM","193103-201512",-17,-7,8,18,28,40,52,50,35,21,-7,-7,-17,"albuquerque","NM"
154,"23051CLAYTON,NM","189602-201512",-21,-18,-11,7,20,31,40,42,26,7,-10,-14,-21,"clayton","NM"
155,"23009ROSWELL,NM","194901-201512",-15,-11,9,23,34,47,56,54,40,14,4,-8,-15,"roswell","NM"
156,"14735ALBANY,NY","193806-201512",-28,-22,-21,10,26,35,40,34,24,16,-11,-22,-28,"albany","NY"
157,"04725BINGHAMTON,NY","195106-201512",-20,-15,-7,9,25,33,39,37,25,17,3,-18,-20,"binghamton","NY"
158,"14733BUFFALO,NY","193805-201512",-16,-20,-7,12,26,35,43,38,31,20,7,-10,-20,"buffalo","NY"
159,"04781ISLIP,NY","198401-201512",-7,1,5,23,32,42,50,45,38,28,11,5,-7,"islip","NY"
160,"14768ROCHESTER,NY","192601-201512",-17,-22,-9,13,26,35,42,36,28,20,5,-16,-22,"rochester","NY"
161,"14771SYRACUSE,NY","193805-201512",-26,-26,-16,9,25,34,44,38,25,18,4,-26,-26,"syracuse","NY"
162,"03812ASHEVILLE,NC","194601-201512",-16,-2,2,20,27,35,44,42,28,16,-2,-7,-16,"asheville","NC"
163,"93729CAPE HATTERAS,NC","195703-201512",6,12,19,26,39,44,54,56,45,32,22,12,6,"cape hatteras","NC"
164,"13881CHARLOTTE,NC","193907-201512",-5,5,4,21,32,45,53,50,39,24,11,2,-5,"charlotte","NC"
165,"13723GREENSBORO-WNSTN-SAL","192811-201512",-8,-4,5,21,32,42,48,45,35,20,10,0,-8,NULL,NULL
